symbol,exchange,tradingClass,currency,multiplier,longName,minTick,priceMagnifier,timeZoneId,active_months,last_month,last_day,last_string,buffer,hourly,active,c4,cs4,e4,e7,e13
GC,COMEX,GC,USD,100.0,Gold,0.1,1,America/New_York,"02,04,06,08,12",-1,-4,none,5,0,1,1,1,0,0,0
HG,COMEX,HG,USD,25000.0,Copper Index,0.0005,1,America/New_York,"03,05,07,09,12",-1,-4,none,9,0,1,1,1,0,0,0
PA,NYMEX,PA,USD,100.0,Palladium Index,0.5,1,America/New_York,"03,06,09,12",-1,-4,none,4,0,1,1,1,0,0,0
PL,NYMEX,PL,USD,50.0,Platinum Index,0.1,1,America/New_York,"01,04,07,10",-1,-4,none,5,0,1,1,1,0,0,0
SI,COMEX,SI,USD,5000.0,Silver Index,0.005,1,America/New_York,"03,05,07,09,12",-1,-4,none,6,0,1,1,1,0,0,0
ALI,COMEX,ALI,USD,25.0,Aluminum Index,0.25,1,America/New_York,"01,02,03,04,05,06,07,08,09,10,11,12",-1,-19,none,16,0,0,0,0,0,0,0
HRC,COMEX,HRC,USD,20.0,Hot-Rolled Coil Steel Index,1.0,1,America/New_York,"01,02,03,04,05,06,07,08,09,10,11,12",0,-15,none,6,0,0,0,0,0,0,0
AH,LMEOTC,AH,USD,25.0,High-Grade Primary Aluminium,0.5,1,Europe/London,"01,02,03,04,05,06,07,08,09,10,11,12",0,-3,none,30,0,0,0,0,0,0,0
CA,LMEOTC,CA,USD,25.0,Grade A Copper - LME,0.5,1,Europe/London,"01,02,03,04,05,06,07,08,09,10,11,12",0,-3,none,30,0,1,1,1,0,0,0
NI,LMEOTC,NI,USD,6.0,Nickel - LME,5.0,1,Europe/London,"01,02,03,04,05,06,07,08,09,10,11,12",0,-3,none,30,0,1,1,1,0,0,0
PB,LMEOTC,PB,USD,25.0,Lead - LME,0.5,1,Europe/London,"01,02,03,04,05,06,07,08,09,10,11,12",0,-3,none,30,0,1,1,1,0,0,0
SNLME,LMEOTC,SN,USD,5.0,Tin future,5.0,1,Europe/London,"01,02,03,04,05,06,07,08,09,10,11,12",0,-3,none,30,0,1,1,1,0,0,0
ZSLME,LMEOTC,ZS,USD,25.0,Special High Grade Zinc,0.5,1,Europe/London,"01,02,03,04,05,06,07,08,09,10,11,12",0,-3,none,30,0,1,1,1,0,0,0
ES,CME,ES,USD,50.0,E-mini S&P 500,0.25,1,America/Chicago,"03,06,09,12",0,-1,none,5,0,1,0,0,1,1,1
NQ,CME,NQ,USD,20.0,E-mini NASDAQ 100 ,0.25,1,America/Chicago,"03,06,09,12",0,-1,none,5,0,1,0,0,1,1,1
RTY,CME,RTY,USD,50.0,E-mini Russell 2000 Index,0.1,1,America/Chicago,"03,06,09,12",0,-1,none,5,0,1,0,0,1,1,1
YM,CBOT,YM,USD,5.0,E-mini Dow Jones Industrial Average,1.0,1,America/Chicago,"03,06,09,12",0,-1,none,5,0,1,0,0,1,1,1
NKD,CME,NKD,USD,5.0,Dollar Denominated Nikkei 225 Index,5.0,1,America/Chicago,"03,06,09,12",0,-1,none,4,0,1,0,0,1,1,1
SIXM,CME,XAF,USD,250.0,Financial Select Sector Index,0.05,1,America/Chicago,"03,06,09,12",0,-4,none,2,0,1,0,0,1,1,1
IXR,CME,XAP,USD,100.0,Consumer Staples Select Sector Index,0.1,1,America/Chicago,"03,06,09,12",0,-4,none,2,0,1,0,0,1,1,1
SIXT,CME,XAK,USD,100.0,Technology Select Sector Index -,0.1,1,America/Chicago,"03,06,09,12",0,-4,none,2,0,1,0,0,1,1,1
IXE,CME,XAE,USD,100.0,Energy Select Sector Index,0.1,1,America/Chicago,"03,06,09,12",0,-4,none,2,0,1,0,0,1,1,1
IXY,CME,XAY,USD,100.0,Consumer Discretionary Select Sector Index,0.1,1,America/Chicago,"03,06,09,12",0,-4,none,2,0,1,0,0,1,1,1
IXV,CME,XAV,USD,100.0,Health Care Select Sector Index,0.1,1,America/Chicago,"03,06,09,12",0,-4,none,2,0,1,0,0,1,1,1
IXI,CME,XAI,USD,100.0,Industrial Select Sector Index,0.1,1,America/Chicago,"03,06,09,12",0,-4,none,2,0,1,0,0,1,1,1
IXU,CME,XAU,USD,100.0,Utilities Select Sector Index,0.1,1,America/Chicago,"03,06,09,12",0,-4,none,2,0,1,0,0,1,1,1
SIXRE,CME,XAR,USD,250.0,Real Estate Select Sector Index,0.05,1,America/Chicago,"03,06,09,12",0,-4,none,2,0,1,0,0,1,1,1
IXB,CME,XAB,USD,100.0,Materials Select Sector Index,0.1,1,America/Chicago,"03,06,09,12",0,-4,none,2,0,1,0,0,1,1,1
XAZ,CME,XAZ,USD,250.0,Communication Services Select Sector Index,0.05,1,America/Chicago,"03,06,09,12",0,-4,none,1,0,1,0,0,1,1,1
CL,NYMEX,CL,USD,1000.0,Light Sweet Crude Oil,0.01,1,America/New_York,"01,02,03,04,05,06,07,08,09,10,11,12",0,-2,none,8,0,1,1,1,0,0,0
NG,NYMEX,NG,USD,10000.0,Henry Hub Natural Gas,0.001,1,America/New_York,"01,02,03,04,05,06,07,08,09,10,11,12",0,-2,none,13,0,0,0,0,0,0,0
